id,title,brand,model,category,year,price,condition,battery_health,km_ridden,frame_size,color,image_url,product_url,description,listed_date
1,IMAGE 5.B movelo RT,Kalkhoff,IMAGE 5.B movelo RT,E-City,2021,1315.48,Very good,,7148,48 cm / M,white,https://likedbikes.com/cdn/shop/files/bike-shopimage1-641251305-1-1762500781.webp?v=1775141193&width=1200,https://likedbikes.com/products/image-5-b-movelo-rt-4058,"Kalkhoff city e-bike with Bosch Active Line Plus motor (50 Nm), 500 Wh integrated battery, Aluminium Wave frame, Shimano hub gear with coaster brake, Schwalbe Marathon GT Tour tires. Elegant movelo design with upright riding position.",
2,ENDEAVOUR 5.B MOVE+,Kalkhoff,ENDEAVOUR 5.B MOVE+,E-Trekking,2023,2480.00,Excellent,,0,43 cm / S,grau,https://likedbikes.com/cdn/shop/files/bike-shopimage1-799-1753799291.webp?v=1775547718&width=1200,https://likedbikes.com/products/endeavour-5-b-move-16769,"High-end Kalkhoff trekking e-bike with Bosch Performance Line CX motor (85 Nm), 625 Wh battery, Shimano SLX drivetrain, hydraulic disc brakes. Brand new condition (0 km). German quality, 100 years of innovation.",
3,ENDEAVOUR 7.B MOVE+,Kalkhoff,ENDEAVOUR 7.B MOVE+,E-Trekking,2023,2759.47,Excellent,,0,43 cm / S,grau,https://likedbikes.com/cdn/shop/files/bike-686e4a4e9befc1.85716810.webp?v=1775140935&width=1200,https://likedbikes.com/products/endeavour-7-b-move-15394,"Kalkhoff premium trekking e-bike with 750 Wh battery, Bosch Performance CX motor, Suntour Mobie 25 Air fork (75 mm), Wave frame, 27.5-inch wheels. Brand new, never ridden. Original RRP €4899.",
4,ENDEAVOUR 7.B MOVE+,Kalkhoff,ENDEAVOUR 7.B MOVE+,E-Trekking,2023,2734.91,Very good,,86,48 cm / M,grau,https://likedbikes.com/cdn/shop/files/bike-686e4a51b5f8f9.40083117_e049ef2c-80fc-4418-8c94-fcc4675cd41b.webp?v=1775141143&width=1200,https://likedbikes.com/products/endeavour-7-b-move-16222,"Kalkhoff Endeavour 7.B trekking e-bike with 750 Wh battery, profiled Schwalbe tires, Wave frame, 27.5-inch wheels. Only 86 km ridden, refurbished to very good condition. Original RRP €4899.",
5,IMAGE 5.B ADVANCE+,Kalkhoff,IMAGE 5.B ADVANCE+,E-City,2024,2085.00,Very good,,3714,53 cm / L,diamondblack matt,https://likedbikes.com/cdn/shop/files/bike-699d52e7f18109.94207810.webp?v=1775013773&width=1200,https://likedbikes.com/products/image-5-b-advance-6065,"Kalkhoff premium city e-bike with Bosch Performance Line Smart System motor (75 Nm), 625 Wh integrated battery, Suntour Mobie34 Air fork, Tektro 4-piston hydraulic disc brakes, Shimano Nexus 5-speed hub. Original RRP €4599.",
6,AGATTU 3.B movelo RT,Kalkhoff,AGATTU 3.B movelo RT,E-City,,1419.30,Very good,,1737,M,,https://likedbikes.com/cdn/shop/files/bike-686e4a40d94504.54615183_9929b1df-ecc8-4e17-b486-ffb2051596f9.webp?v=1775140684&width=1200,https://likedbikes.com/products/agattu-3-b-movelo-rt-10977,"Kalkhoff AGATTU city e-bike in movelo design with removable battery, coaster brake, comfortable Wave frame. Ideal for urban commuting. Original RRP €2659, 46% off.",
7,AGATTU 3.B movelo RT,Kalkhoff,AGATTU 3.B movelo RT,E-City,,1308.40,Very good,,4945,M,,https://likedbikes.com/cdn/shop/files/bike-shopimage1-641251300-1-1760345237.webp?v=1775141274&width=1200,https://likedbikes.com/products/agattu-3-b-movelo-rt-4730,"Kalkhoff AGATTU city e-bike. Higher mileage unit at attractive price point. Reliable daily commuter with Bosch motor and coaster brake. Original RRP €2659, 50% off.",
8,AGATTU 3.B movelo RT,Kalkhoff,AGATTU 3.B movelo RT,E-City,,1391.38,Very good,,2554,M,,https://likedbikes.com/cdn/shop/files/bike-6953849c0469d7.80894983_bea035a6-0432-41dc-93b3-ef5ab436d090.webp?v=1775141281&width=1200,https://likedbikes.com/products/agattu-3-b-movelo-rt-5713,"Kalkhoff AGATTU city e-bike in very good condition. Popular urban commuter model with comfortable riding position. Original RRP €2659, 47% off.",
9,Stereo Hybrid 140 HPC Pro 625,Cube,Stereo Hybrid 140 HPC Pro 625,E-MTB Full Suspension,2023,2761.00,Excellent,,188,51 cm / L,"vivid'n'sun",https://likedbikes.com/cdn/shop/files/bike-69c3ca0fe72cc5.49535731.webp?v=1775703655&width=1200,https://likedbikes.com/products/stereo-hybrid-140-hpc-pro-625-6397,"Cube carbon-frame full-suspension e-MTB with Bosch Performance CX Gen4 motor (85 Nm), 625 Wh battery, RockShox Recon Silver fork, Magura MT Thirty brakes, Shimano Deore 11-speed. Only 188 km.",
10,Stereo Hybrid 140 HPC Race 750,Cube,Stereo Hybrid 140 HPC Race 750,E-MTB Full Suspension,2024,3368.00,Very good,,1276,51 cm / L,"liquidred'n'black",https://likedbikes.com/cdn/shop/files/bike-69ca18ee4d3340.23175994_b19ed89e-0712-4f4f-9f92-06e887183e6a.webp?v=1775014559&width=1200,https://likedbikes.com/products/stereo-hybrid-140-hpc-race-750-6784,"Carbon e-MTB Fully with Bosch Performance CX Gen4 (85 Nm), 750 Wh battery, RockShox 35 Silver TK Air fork (150 mm), SRAM DB8 brakes, Shimano XT 12-speed, Bosch Kiox 100 display. 29-inch wheels.",
